centroid,spread,flatness,rolloff,zcr,rms_energy,peak_amplitude,band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,genre,filename
533.3053541234575,1128.3550070922468,0.002475445328512093,861.478124092976,0.01092189162877322,0.06526562,0.80435777,14.770449,19.714317,15.631265,8.110047,4.1922846,2.9183743,1.407056,1.4799219,0.7092381,0.2649481,0.1294672,0.048919525,0.03212062,0.027477164,0.0057881842,1.2593522e-05,-377.32666,171.52823,57.370735,11.369361,15.28751,22.04854,15.42641,7.1736317,8.07238,7.2015877,3.336261,2.75027,3.593137,0.62458456,0.45131415,0.4129931,0.45267412,0.46007362,0.5186815,0.6864778,0.5912828,0.5377205,0.59686935,0.59201634,0.6662415,blues,blues.00093.wav
1335.9329961560218,2020.5964569634832,0.006530829039539759,2783.5165017898607,0.026424443389609132,0.15617576,0.9951492,38.302444,35.545036,23.19096,20.15982,15.220146,14.073553,4.25438,3.2391737,2.6081648,1.7644349,1.3122232,0.78905845,0.5732747,0.4031588,0.07611178,9.6899465e-05,-217.80367,181.08789,-19.766867,49.37155,14.601411,7.6046314,22.74915,-8.790467,10.850256,2.9624715,-8.548079,2.3951733,-4.834088,0.38319254,0.45804584,0.41954476,0.4089839,0.43388116,0.45758313,0.45399687,0.41942745,0.4753967,0.52432376,0.46393856,0.38998118,blues,blues.00087.wav
1883.0507247771259,2118.972660729624,0.002611299165374715,4057.0254677220396,0.044675844741679564,0.17889787,0.93295723,37.47684,36.101402,25.935507,23.376429,20.395172,8.298223,6.140828,4.142744,4.3610663,4.0635285,3.6707659,2.096423,1.3479036,0.76292664,0.12811166,2.0723794e-05,-160.2372,183.26927,-64.12417,56.379135,13.837906,10.855821,29.294794,-10.324175,15.961388,-0.5868982,-2.2189107,9.64947,-8.524639,0.5175766,0.44959253,0.48864934,0.5153479,0.50434357,0.44929013,0.45255566,0.39855957,0.44790593,0.4819801,0.5255664,0.597678,blues,blues.00050.wav
2189.54286481017,2429.6890152423653,0.004146307314081246,5062.861052238535,0.0491119479247291,0.13497804,0.85717857,32.199646,31.96112,30.790588,18.537504,11.623043,8.907713,2.3082607,2.499552,2.5924973,1.7935805,2.044147,1.6264684,1.3271013,0.91758204,0.13692851,3.298156e-05,-188.40884,171.7954,-67.02484,78.51757,8.820489,9.065661,37.27066,-9.007629,23.561367,2.217637,-4.653557,4.1965756,-17.236683,0.44797018,0.52541554,0.50726163,0.48789075,0.4095414,0.39901784,0.44227034,0.4535194,0.530921,0.53980076,0.53303045,0.44126794,blues,blues.00044.wav
2296.398540030528,2225.7953584129814,0.0037392911807317387,4844.545705694902,0.06495879087654799,0.25333193,1.0001001,32.31434,47.62626,33.079407,28.172306,24.813843,13.069262,14.617948,11.687226,9.408715,9.234084,6.684159,3.7628233,2.6410375,1.8614348,0.29622284,6.5159955e-05,-92.85198,194.84164,-85.688446,58.00341,-8.178874,4.2876635,26.938255,-22.686035,19.406794,-2.8167446,-3.1876557,10.177516,-11.816652,0.40993842,0.54784095,0.54409635,0.5629041,0.3950071,0.37247378,0.3307694,0.44370264,0.45575356,0.4270746,0.58966327,0.4342615,blues,blues.00078.wav
2374.631328604884,2366.676192722695,0.004058248593264379,5129.193984465703,0.065800244594137,0.2682523,1.0001849,51.701286,60.97882,39.96404,38.732838,22.05912,12.266077,11.020216,11.454819,8.418948,8.101667,6.736881,3.6765249,3.1769996,2.0406594,0.43210253,6.973718e-05,-92.75694,191.98018,-86.30136,68.14249,-8.367275,7.7793474,27.775686,-21.098614,25.36085,0.11744948,2.6743927,8.340903,-12.243721,0.46364486,0.452828,0.45458362,0.6107404,0.4646322,0.45884666,0.4992408,0.4961651,0.4402649,0.44491482,0.6556308,0.46398044,blues,blues.00079.wav
1664.9941339698728,2312.1477832998544,0.0016809754248299827,4338.373766447368,0.025528379269059598,0.14609005,0.77540874,20.357725,43.14482,41.629845,27.601038,12.798762,5.820815,1.5136553,0.87744784,0.8632677,0.68146217,1.0470182,0.9752654,0.7613292,0.510808,0.08396507,5.676204e-06,-228.21909,155.37929,-38.174236,84.68564,28.286938,12.863556,33.21901,-4.8301263,19.9774,4.5495667,-7.2902174,0.55183417,-15.894009,0.60073227,0.5533392,0.512568,0.49802825,0.46358517,0.43814024,0.4823203,0.57470214,0.6656848,0.72765654,0.68871063,0.6436419,blues,blues.00045.wav
1922.1672384845133,2000.4333721650723,0.004012755745842352,3876.851557209027,0.05501931961106811,0.19473608,0.8774476,45.6681,43.615036,24.484612,20.303024,17.621347,13.069511,11.256712,7.6366596,3.6116915,4.4044495,5.2508254,3.4762115,1.5255116,0.7155207,0.14184652,6.0663442e-05,-138.85507,197.95482,-75.439735,57.31689,19.419357,1.9973978,12.409258,-17.291204,15.133198,-2.3272655,2.1834142,14.923777,-4.3931127,0.35730648,0.36031005,0.42152938,0.52637166,0.5588365,0.46788985,0.4173538,0.45499644,0.47854027,0.4323214,0.439992,0.42056543,blues,blues.00051.wav
1164.9672178096264,2033.332388034377,0.003063862312918869,2315.7526636271286,0.025368705253482973,0.12228077,0.9788539,23.508413,31.347782,19.820396,21.414467,8.442631,6.210548,4.7074213,2.2461102,1.6586535,1.2575554,0.8832799,0.5196952,0.32216397,0.3157584,0.062053602,1.6082628e-05,-268.64746,176.66821,3.7694292,34.476177,16.470606,14.863075,17.571613,-4.8585324,8.641141,-0.13079603,-3.8723686,7.8830643,1.1703279,0.4312451,0.3928948,0.4432426,0.4329166,0.45253935,0.5403348,0.5548211,0.5827529,0.5526864,0.53309596,0.5094632,0.46701545,blues,blues.00086.wav
846.4750402622792,1759.1132193540632,0.0054801111024269595,1449.60790108601,0.016644079249709752,0.061992396,0.59747505,9.851996,21.688423,11.468971,7.903607,3.7234137,2.584496,1.3379874,0.6430394,0.48107138,0.48084518,0.3357289,0.20807874,0.09046547,0.080888644,0.016553791,2.67772e-05,-371.90808,147.95705,30.778399,33.792732,31.329449,26.095703,20.029964,5.2488475,8.31505,1.549276,-3.0101597,3.462704,-0.5957384,0.516873,0.45419148,0.41957158,0.47626725,0.55460095,0.62129945,0.6473554,0.60649455,0.5864342,0.5767476,0.5771472,0.55866826,blues,blues.00092.wav
1999.6032601253594,2112.347351088382,0.001879438550201055,4056.62547014077,0.05882428526509288,0.2307697,0.9905376,41.68828,40.150406,31.394678,23.286182,18.602009,15.452482,12.833023,11.774196,7.866813,7.5131135,6.126629,2.722975,1.646871,1.1574315,0.2546269,1.7632448e-05,-121.29289,196.48581,-71.954216,47.34562,-2.9283717,6.48649,19.725357,-20.857586,18.980661,-0.71402603,-0.49788833,8.03076,-11.783826,0.5958595,0.3827712,0.36944664,0.47059697,0.3588768,0.3478668,0.35707128,0.58144546,0.39554235,0.4064154,0.5943549,0.44548768,blues,blues.00084.wav
1486.7384008559623,2239.013748510268,0.00251691256974518,3147.630966706173,0.030602989551083593,0.13024805,0.88327116,28.899187,36.533386,26.95132,17.37703,8.914249,9.893051,3.598346,2.0273342,1.6437039,1.4182432,1.1933625,0.76393723,0.54908,0.4982312,0.07438947,1.1628889e-05,-239.67816,171.72157,-19.034788,58.186703,18.936064,13.370598,24.209543,-9.110299,15.198469,1.5755103,-9.70141,6.0893474,-4.2112646,0.46930224,0.43779144,0.41813093,0.42993456,0.5112407,0.5272246,0.5470069,0.5475973,0.5167633,0.499832,0.48134106,0.5035157,blues,blues.00090.wav
1896.2505104267032,2356.249569982229,0.0044339071827606625,4639.613611557905,0.03994193534732972,0.111602314,0.91635394,17.878494,22.207611,21.698439,15.726264,18.534613,10.544107,2.4789398,1.3609581,1.6964302,0.8147554,1.0967395,1.2141806,0.896915,0.58119935,0.08222663,3.294283e-05,-218.23302,165.90596,-44.450336,82.43611,17.989992,4.374423,31.70157,-7.84538,15.248996,-3.0732918,-12.187484,-0.80922204,-17.850332,0.4252383,0.5074935,0.44562614,0.46578714,0.6084845,0.5238404,0.4096604,0.4069204,0.47498938,0.4138002,0.34231925,0.3871601,blues,blues.00047.wav
2114.1950199277762,2028.2659269692228,0.00402710133292949,4147.941584631385,0.06840321449303406,0.16495216,1.051769,34.88167,27.572678,13.773096,14.469661,14.213676,7.4186225,8.424664,6.1417384,4.417783,4.772577,4.9725714,3.3476028,1.5108305,0.76125044,0.12628959,4.85816e-05,-156.90294,187.57253,-80.012985,50.401672,18.23577,-0.3380082,17.191648,-12.80889,13.559051,-0.8095829,-2.8026977,10.527855,-4.9226136,0.47326264,0.5043712,0.47920358,0.46864367,0.3669904,0.45804027,0.5283104,0.4296976,0.4259964,0.4112243,0.46713808,0.4602209,blues,blues.00053.wav
